epoch,d_loss,wasserstein,q_real_loss,q_fake_loss,cell_loss,total_g_loss
0,-0.3285581033734175,1.521342261743087,3.8689544464991643,0.0645601584003606,0.05072405572057864,2.041396031173271
1,-2.3274989681977494,2.4462823288257307,3.387668123978835,0.062237792537299864,0.044853823344915285,1.9289048352372755
2,-1.8850847339630128,2.0231805100807776,2.9997982832101675,0.0627966490360575,0.03514378982672998,-0.5043181447363502
3,-1.7794162962986873,1.960265015088595,2.7375674313765304,0.06326501802840365,0.024312592308045528,-1.3876086878120353
4,-1.878460420828599,2.057097282776466,2.552738530085637,0.06604478525322512,0.015049337272728803,-1.0773152911334956
5,-1.9703789740342361,2.135781194980328,2.402729481917161,0.06908360239836055,0.010228399849505326,-0.9522925680930462
6,-2.041203083258409,2.1982811348254865,2.2744529445354753,0.0727589188844239,0.008788506389347785,-0.8964978877557527
7,-2.0995668877088107,2.2483893511845516,2.1538754554895254,0.07634196611582686,0.008949108605503762,-0.889101782523164
8,-2.1466533873631404,2.28951386818519,2.038625711294321,0.07941965047919422,0.008862358816993345,-0.9274669803610636
9,-2.1829175472259523,2.3206323176163894,1.9265950797154354,0.08410424759628576,0.008652061826352952,-0.9516231767628172
10,-2.2136316790947546,2.348380335294283,1.8202262772046602,0.08604386913667031,0.008712147217278086,-1.0035620178651372
11,-2.235482301712036,2.3676327301905706,1.7190195824549748,0.09106383028380367,0.00895382982140424,-1.0484130048970564
12,-2.255646437865037,2.3862000861534707,1.6252407217025757,0.09430577284699186,0.009182028365620506,-1.1075767278671265
13,-2.2721114209982063,2.4015281310448278,1.53833501632397,0.09705192007876318,0.008740775910881134,-1.1848329234560695
14,-2.2858438579852765,2.414192912761982,1.4589597034454345,0.10127526542188925,0.008817324965953006,-1.2443904242384325
15,-2.296077103981605,2.423827410477858,1.3871454862447885,0.10580089052609347,0.008925403365779907,-1.2983415744720248
16,-2.307179195697491,2.43467883843642,1.3211586005871112,0.1097743253505558,0.008679444213833558,-1.3311699924119023
17,-2.315994019141564,2.443386308963482,1.262258801827064,0.11374112820133157,0.009136865150456855,-1.3828288327663316
18,-2.3234837752122144,2.450855306478647,1.2086076281620906,0.1187463355583882,0.008911478786020104,-1.4087553308644425
19,-2.330939482175387,2.4583835653158332,1.159465799331665,0.1215140879701037,0.009001542028005518,-1.447939734940135
20,-2.337604714173537,2.465393364246075,1.1134846448898315,0.12392048202796814,0.00909114472670566,-1.4641690997902406
21,-2.3433246436485877,2.47134941981389,1.0721544707738435,0.12647947669029236,0.008972987882929658,-1.4630338073870457
22,-2.3500758794637826,2.4784021810384895,1.0338976335525514,0.13386908337610579,0.009102182723410906,-1.4474006191306157
23,-2.3559777773343598,2.484752769470215,0.9983464136490455,0.13534070141271715,0.009073679455034777,-1.4238314005213046
24,-2.361455025306115,2.4905589367793155,0.964869333413931,0.13834769121550639,0.008901226475253838,-1.4013934802571568
25,-2.3667108022249663,2.4962500168726995,0.9346460322233346,0.1418975831581912,0.008980293724036545,-1.3632409244502357
26,-2.3701245073171764,2.4999219901745136,0.90612949352998,0.1435292004992109,0.008972799059413715,-1.3170440727417623
27,-2.3757435065049393,2.5058871658031756,0.8790842054440425,0.1501947057629944,0.00897124496826885,-1.2640666852303601
28,-2.3805026127741886,2.5111256489386924,0.8536364338948177,0.15049147899817983,0.008974536386139076,-1.2394879542359518
29,-2.385808731959416,2.516807375687819,0.829522204032311,0.15306131487045813,0.008918339719807883,-1.2009397865435398
30,-2.392015732251681,2.5235502162346473,0.8074942295367901,0.15570560241237694,0.008803802170713833,-1.1722980300220875
31,-2.396535114141611,2.528425428683941,0.7861914966656611,0.16023239466028477,0.008977760876947587,-1.1262111384934241
32,-2.4018102249732385,2.5342311279590315,0.7660765989010151,0.15939208899342686,0.00919130787150849,-1.0734980915664534
