epoch,d_loss,wasserstein,q_real_loss,q_fake_loss,total_g_loss
0,4.875115496356313,-0.22082632568823854,4.099990687719205,0.06777982546814851,0.05382980193410601
1,3.2819937351273327,-1.4622157826656248,3.899977832305722,0.0642288855410048,-0.7615051737853459
2,2.7978240222465702,-1.3857948300315113,3.701017827522464,0.06208921050918954,-0.5681366622447968
3,2.071512370574765,-1.381134527485545,3.580397358754786,0.06161521627966847,-0.5247291645833424
4,1.2748166380859003,-1.0917609326723146,3.464018868237007,0.06123195668416364,-0.23695193749985524
5,0.5334872592513155,-0.4657177078287776,3.3278229236602783,0.06124011653342417,0.2403051746743066
6,0.36728570196868443,-0.311390102591093,3.1892255457436165,0.061334743297525814,0.014370150731078215
7,-0.03920499789642125,0.4337296651210636,3.058697825524865,0.06331159746540445,-0.04752234808568444
8,0.07095592513271584,0.7244865443648362,2.948269390478367,0.0677324722387961,-0.8853016825658935
9,-1.2045538360025825,1.686064502088035,2.8559879733294977,0.08849568798073701,-1.0063113868236542
10,-2.2275974779594234,2.634831246806354,2.781172630263538,0.07873350514897279,-0.7274974063038826
11,-3.131363025525721,3.529338074893486,2.711898041934502,0.08624410083783525,-0.6543839597808463
12,-2.1922032353354663,2.3807377698944836,2.644715163765884,0.06460303014942578,-2.495333973850523
13,-1.6215091362232115,1.759899212092888,2.5769104637750764,0.06614671195191997,-3.786971236978258
14,-1.3214538053768436,1.410542054874141,2.511514669511376,0.0767116014446531,-3.6143251402037486
15,-2.285456057001905,2.4500349105858223,2.448964014285948,0.09691258360232625,-0.3633134083024093
16,-1.31927031496676,1.387210454882645,2.3888206481933594,0.07064527193350452,-2.012956033859934
17,-1.568232165604103,1.6584189388810135,2.3333351379487572,0.0830337426492146,-1.4699439951883895
18,-1.2747422340439587,1.3477624480317278,2.278186007243831,0.07887449594480651,-1.1551580769675118
19,-1.1241405373666344,1.1815354148062265,2.2265854986702522,0.08498953256223883,-0.41097533889114857
20,-1.1663660268958023,1.2221086236034953,2.1759278687035164,0.08527138882449695,-0.25252280490739004
21,-1.2642312613202304,1.327204135132999,2.1229417076924952,0.0839871277234384,0.8441108454551015
22,-1.2510776741475593,1.3016912679119808,2.0701660092284038,0.09420838845627648,1.3894559666514397
23,-1.265316985729264,1.3138845410288833,2.0225263441481243,0.10030964682144779,1.8316892683506012
24,-1.4876905483443563,1.5551283243225842,1.9728443782504013,0.08338304928370885,2.2170386953013286
25,-1.2329925578541872,1.2776267139649973,1.9263278594831141,0.125991039244192,3.0290999497686113
26,-1.3549279202934263,1.4282694480768063,1.8806145205730345,0.11488883037652288,2.3632360313619887
27,-1.5942212372291378,1.6593365509335587,1.8324236579057647,0.09752493990319115,3.5583058084760393
28,-1.4401266364062704,1.4931826286199616,1.7879969143285983,0.13146990138505185,4.001056458268847
29,-1.5335881404760408,1.6080545608590289,1.7431662678718567,0.11179827526211739,4.116710432938167
30,-1.2395677933605707,1.2854638739330013,1.7017775192493345,0.10067991859146527,4.171578986304147
31,-1.3397873145778005,1.4027449270574057,1.660270012006527,0.09944457640605313,4.829589418002537
32,-1.2184014981839715,1.2626509201235887,1.621508117129163,0.13546227371054037,4.6484038063458035
33,-1.395125825957554,1.4439421572336337,1.5835953296684637,0.1260373443365097,5.389903460230146
34,-1.4379704885366487,1.4940072298049927,1.5449637901492235,0.1299725387777601,5.3938619920185635
35,-1.2901425208987258,1.3396440482721097,1.509864123856149,0.1316939935620342,6.199099131992885
36,-1.2610355303054903,1.3177083469018704,1.4764278007716667,0.12454771915716785,6.320914251463754
37,-1.2452408213440964,1.2939035485430461,1.442378307261118,0.1167871177728687,6.35779070854187
38,-1.34365729951277,1.395441677512192,1.4090315408822967,0.13409240570451533,6.7677216700145175
39,-1.2317457976864605,1.2883690392098777,1.3776153064355618,0.11765865715486663,7.100336790084839
40,-1.3152005730605707,1.366988612384331,1.3490926041835691,0.12302350412522044,7.203815340995789
41,-1.2137878304574548,1.276823317132345,1.3201645685405266,0.13934630953839847,7.281024592263358
42,-1.122628768769706,1.1648415239845835,1.2915635501466147,0.15048124135604926,7.686522586005075
43,-1.0297942514099725,1.076223489714832,1.2650785649695047,0.1499183920345136,7.142960565430777
44,-0.8187204806542978,0.8505032992944485,1.2394773189614459,0.11883886850305966,7.316068887710571
45,-0.8235174940853585,0.8550788716572088,1.2147606116969412,0.14970663003623486,7.309166005679539
46,-1.0738989856184982,1.1191892914655732,1.1899319945312128,0.12990710378757545,7.501416342599051
47,-0.7508444469876405,0.7772946066972686,1.1660055881593285,0.16738380332078254,7.642786026000977
48,-1.0346779223622344,1.0688855357286406,1.1439930084275036,0.18182778917253017,8.200412954602923
49,-0.9497489042398406,0.9997775554656982,1.1233755902546207,0.14432186686566897,7.60605205808367
50,-1.0363046141659342,1.0722435218531912,1.1008647360452792,0.1726046944303172,8.225432447024755
51,-0.8873086320917781,0.9116652360776576,1.0814225019478216,0.1598494430737836,8.322986841201782
52,-0.9044479306151227,0.9383230151199713,1.062197001968942,0.18176052027515002,8.499792218208313
53,-0.8851011097431183,0.9174603950686571,1.04260088903148,0.14270553418568202,8.565528154373169
54,-0.8895143517633763,0.9299635131184648,1.0254196233865691,0.15975705906748772,9.138930797576904
55,-1.0151180632230712,1.0530491165998506,1.0081630145631186,0.16843715044004576,9.066647291183472
56,-0.8640831570799757,0.908445236159534,0.9924027330991698,0.16297493608934538,9.496990885053362
57,-0.9417268379432399,0.9806406323502703,0.9768589989441198,0.18746581407529966,9.279008524758476
58,-0.9162128520448033,0.9525709094070807,0.9604948599164079,0.1764529767845358,9.143150125231061
59,-0.758482310580226,0.7990113816610197,0.9474401692064797,0.17361706175974437,8.832575559616089
60,-0.5451558973049608,0.5843927685807391,0.9315156384212214,0.1563607661851815,8.145498429025922
61,-0.4655177627758282,0.4936186046135135,0.918584456531013,0.20832780855042593,7.348725829805646
62,-0.614091846092445,0.6489764771810392,0.9058969740460558,0.17430915523852622,6.764424783842904
63,-0.4979642653815085,0.5592841985749035,0.8922556842245707,0.19862621490444457,6.55415597983769
64,-0.5869005974836465,0.6234569840314912,0.8798819569552817,0.1591689961829356,6.920018519674029
65,-0.409488225003659,0.447865317507488,0.8679838667555553,0.19331446343234607,6.2657387256622314
66,-0.6224090158939362,0.6652417299224109,0.8554627706364888,0.17184138564126833,6.483947345188686
67,-0.5362798927760706,0.5872675907321092,0.8440019117622841,0.19839938197817122,6.194655231067112
68,-0.5593649694105474,0.6082326435461277,0.8326255497409076,0.1682985962501594,6.054352215358189
69,-0.627273076918067,0.6794089049827762,0.8220014332271204,0.1776764653623104,5.909057685307094
70,-0.5785272466700252,0.6229495246235918,0.8119661400957805,0.16466231644153595,5.760407294545855
71,-0.5495769145285211,0.5972484146676412,0.802381644888622,0.18207237124443054,5.567274638584682
72,-0.6907516136402037,0.7384181662303645,0.7915571310171267,0.15943877611841475,5.650641867092678
73,-0.6189598531984701,0.6572053258011981,0.7818698490538248,0.17618171923926898,5.564036164964948
74,-0.6887593625522241,0.7255204654321438,0.7725122171204265,0.16237459278532437,5.6094217130116055
75,-0.7372260362636752,0.7752572734181474,0.7654694972968683,0.16691155784896441,5.584755931581769
76,-0.7128929288648977,0.7422549026768382,0.7556138009559817,0.1794508998947484,5.588585700307574
77,-0.7494539960128505,0.7869705456059154,0.7469690783721644,0.16657064163259097,5.366794296673366
78,-0.8375588619127506,0.8752111458196873,0.739671363336284,0.1699842076216425,5.5032932588032315
79,-0.6644905403983302,0.7060905985715913,0.7310453762368458,0.17507257897939002,5.402367200170245
80,-0.8612262999139181,0.9268688283315519,0.7230272060487328,0.1894793893609728,5.556183593613761
81,-0.537168372331596,0.6076788146321367,0.7154403888597721,0.1813978771013873,5.3680963686534335
82,-0.8207474525381879,0.9025705616648604,0.7087725728023343,0.18247437051364354,5.826493586812701
