epoch,d_loss,wasserstein,q_real_loss,q_fake_loss,cell_loss,total_g_loss
0,0.5878070169594138,0.34805350220682363,3.448167174475534,0.06329711071177296,0.15137139316137932,0.7544116472366126
1,-2.1701247204371863,2.308545665877206,2.521679681505476,0.08064447738842605,0.04376424358175327,1.5765348577948466
2,-2.2045501242365155,2.3334543685913087,1.8417229210989816,0.100764756665042,0.031462980788328675,3.1146587411018265
3,-2.1963208860669816,2.3113621339797974,1.3794839774540493,0.12431119974345377,0.019046636623623846,5.13931192273963
4,-2.107604826245989,2.2138294647761754,1.0868782949447633,0.14418613936190736,0.02188706058013725,7.556402740413195
5,-2.020940110070365,2.1192956820896693,0.9017335474831717,0.16733098833834473,0.015344684050507741,9.385232941745079
6,-1.8178218586785453,1.8951309552873883,0.7808643918037415,0.18422418786850694,0.015935880214945502,11.417344677938173
7,-1.4963764662402017,1.5507925807407925,0.6994672038895743,0.1976860744291789,0.01391720070427105,13.322679153860431
8,-0.9952914974348885,1.0352020372663226,0.6422095661844526,0.22873371900760964,0.017791356218417417,14.839106971270418
9,-1.0381077973502022,1.073251000540597,0.5989537406648908,0.23770285040548403,0.020264760903656892,15.80087693423441
10,-0.7829032627106645,0.8365795135498046,0.564270044020244,0.2533834203057093,0.020495955809976343,13.775791592793922
11,-0.30025311209687167,0.41567350932529995,0.5355048895903997,0.3012561152548823,0.04249587048431986,7.9290889003505445
12,-0.17332345406784277,0.3850395104182618,0.5107331492560251,0.31459593686134846,0.05058276808935486,1.0022980248274869
13,-0.3196705295925827,0.506094678061349,0.4894203486442566,0.3144749703574671,0.07121012908444829,-3.845860693552723
14,-0.7642991741384779,0.9219212690080916,0.47081730563299995,0.2737993634726903,0.018978616615042906,-5.421448932935114
15,-1.100540101323809,1.2154222297668458,0.45466586668150766,0.2633181270467092,0.011769687192361445,-4.570603302080337
16,-1.392717283657619,1.5039367708478655,0.44046721359661645,0.24496729324941766,0.010081483218627535,-3.7254065201707083
17,-1.499097488948277,1.6079646797180176,0.4280693209171295,0.19080921017552074,0.009945383949256311,-2.0004835956513065
18,-1.6416061831883022,1.752895396232605,0.416862840959004,0.18329790780601435,0.011320225186390828,0.28105216141637057
19,-1.6462517602103097,1.75396896144322,0.4069893458230155,0.18889598089129958,0.01168114499329296,1.2337490516166165
20,-1.6873018095833914,1.7906380093438286,0.39799957343510217,0.1719032070306066,0.011532741082092263,1.7688220376021242
21,-1.6932378134046282,1.790427412714277,0.3898883365222386,0.15750146738878668,0.011363758656119749,1.903579633529872
22,-1.754534811428615,1.854531758580889,0.38249675485066004,0.14670619493580028,0.010792922083454283,2.444665254795388
23,-1.809576411655971,1.9117744004385813,0.37563077919823784,0.14288817272100546,0.010436672136850962,2.66446386216438
24,-1.8565330753326417,1.9581662120819092,0.36898480919429233,0.14039113125062153,0.010255663674835064,3.030234320522988
25,-1.9016084463936942,2.003065235546657,0.363049973658153,0.1378811432992759,0.011428806573560792,3.2946981853001738
26,-1.9244503355026246,2.0259793810163225,0.3572462671143668,0.13635831053228412,0.010798890282374437,3.5659516715023614
27,-1.9388045449938094,2.0407304427283153,0.3519125029359545,0.13549232620694865,0.011079332729074338,3.5087724948582584
28,-1.9417671706335886,2.042550235067095,0.3468009513786861,0.13369644512358594,0.01066443527576654,3.7517492909954018
29,-1.9532155126844133,2.0541934228624616,0.34196233102253504,0.1307525914927868,0.011457602046940425,4.076695732874413
30,-1.9548335738863263,2.0552721315111433,0.33738982020105635,0.12758818804605365,0.01263240438707377,4.364246285941503
